symbol,timeframe,rows,first_candle_utc,last_candle_utc,hours_behind_now,expected_rows,missing_candles,gap_count,duplicate_count,off_grid_count,integrity_ok,status
aero_usdt,hour1,14344,2024-12-19T08:00:00+00:00,2026-08-09T10:00:00+00:00,0.1,14355,11,11,0,0,False,invalid
aero_usdt,hour4,3589,2024-12-19T08:00:00+00:00,2026-08-09T08:00:00+00:00,2.1,3589,0,0,0,0,True,current
aero_usdt,minute15,57308,2024-12-19T08:00:00+00:00,2026-08-09T10:00:00+00:00,0.1,57417,109,109,0,0,False,invalid
agt_usdt,hour1,10803,2025-05-16T07:00:00+00:00,2026-08-09T10:00:00+00:00,0.1,10804,1,1,0,0,False,invalid
agt_usdt,hour4,2702,2025-05-16T04:00:00+00:00,2026-08-09T08:00:00+00:00,2.1,2702,0,0,0,0,True,current
agt_usdt,minute15,43184,2025-05-16T07:15:00+00:00,2026-08-09T10:00:00+00:00,0.1,43212,28,28,0,0,False,invalid
btc_usdt,hour1,40335,2022-01-01T00:00:00+00:00,2026-08-09T10:00:00+00:00,0.1,40355,20,20,0,0,False,invalid
btc_usdt,hour4,10083,2022-01-01T00:00:00+00:00,2026-08-09T08:00:00+00:00,2.1,10089,6,6,0,0,False,invalid
btc_usdt,minute15,161244,2022-01-01T00:00:00+00:00,2026-08-09T10:00:00+00:00,0.1,161417,173,173,0,0,False,invalid
eth_usdt,hour1,40329,2022-01-01T00:00:00+00:00,2026-08-09T10:00:00+00:00,0.1,40355,26,26,0,0,False,invalid
eth_usdt,hour4,10086,2022-01-01T00:00:00+00:00,2026-08-09T08:00:00+00:00,2.1,10089,3,3,0,0,False,invalid
eth_usdt,minute15,161206,2022-01-01T00:00:00+00:00,2026-08-09T10:00:00+00:00,0.1,161417,211,211,0,0,False,invalid
layer_usdt,hour1,13052,2025-02-11T06:00:00+00:00,2026-08-09T10:00:00+00:00,0.1,13061,9,9,0,0,False,invalid
layer_usdt,hour4,3265,2025-02-11T04:00:00+00:00,2026-08-09T08:00:00+00:00,2.1,3266,1,1,0,0,False,invalid
layer_usdt,minute15,52188,2025-02-11T06:00:00+00:00,2026-08-09T10:00:00+00:00,0.1,52241,53,52,0,0,False,invalid
pbu_usdt,hour1,21885,2024-02-09T06:00:00+00:00,2026-08-09T10:00:00+00:00,0.1,21893,8,8,0,0,False,invalid
pbu_usdt,hour4,5473,2024-02-09T04:00:00+00:00,2026-08-09T08:00:00+00:00,2.1,5474,1,1,0,0,False,invalid
pbu_usdt,minute15,87443,2024-02-09T06:15:00+00:00,2026-08-09T10:00:00+00:00,0.1,87568,125,125,0,0,False,invalid
udoge_usdt,hour1,15762,2024-10-21T03:00:00+00:00,2026-08-09T10:00:00+00:00,0.1,15776,14,14,0,0,False,invalid
udoge_usdt,hour4,3943,2024-10-21T00:00:00+00:00,2026-08-09T08:00:00+00:00,2.1,3945,2,2,0,0,False,invalid
udoge_usdt,minute15,62982,2024-10-21T03:45:00+00:00,2026-08-09T10:00:00+00:00,0.1,63098,116,116,0,0,False,invalid
