symbol,timeframe,rows,first_candle_utc,last_candle_utc,hours_behind_now,expected_rows,missing_candles,gap_count,duplicate_count,off_grid_count,integrity_ok,status,freshness_hours,freshness_limit_hours,freshness_policy_version,freshness_policy_digest,evaluated_at_utc,freshness_ok,ready_for_research,readiness_reason
aero_usdt,hour1,14352,2024-12-19T08:00:00+00:00,2026-08-09T18:00:00+00:00,0.65,14363,11,11,0,0,False,invalid,0.6538,3.0,1.0.0,ad3bc54c9135ba4eacd28d6f06620973e009a6eca71010c4e314efe5b4cafd9e,2026-08-09T18:39:13.543636+00:00,True,False,integrity_failed
aero_usdt,hour4,3591,2024-12-19T08:00:00+00:00,2026-08-09T16:00:00+00:00,2.65,3591,0,0,0,0,True,current,2.6538,8.0,1.0.0,ad3bc54c9135ba4eacd28d6f06620973e009a6eca71010c4e314efe5b4cafd9e,2026-08-09T18:39:13.543636+00:00,True,True,ready
aero_usdt,minute15,57342,2024-12-19T08:00:00+00:00,2026-08-09T18:30:00+00:00,0.15,57451,109,109,0,0,False,invalid,0.1538,1.0,1.0.0,ad3bc54c9135ba4eacd28d6f06620973e009a6eca71010c4e314efe5b4cafd9e,2026-08-09T18:39:13.543636+00:00,True,False,integrity_failed
agt_usdt,hour1,10811,2025-05-16T07:00:00+00:00,2026-08-09T18:00:00+00:00,0.65,10812,1,1,0,0,False,invalid,0.6538,3.0,1.0.0,ad3bc54c9135ba4eacd28d6f06620973e009a6eca71010c4e314efe5b4cafd9e,2026-08-09T18:39:13.543636+00:00,True,False,integrity_failed
agt_usdt,hour4,2704,2025-05-16T04:00:00+00:00,2026-08-09T16:00:00+00:00,2.65,2704,0,0,0,0,True,current,2.6538,8.0,1.0.0,ad3bc54c9135ba4eacd28d6f06620973e009a6eca71010c4e314efe5b4cafd9e,2026-08-09T18:39:13.543636+00:00,True,True,ready
agt_usdt,minute15,43218,2025-05-16T07:15:00+00:00,2026-08-09T18:30:00+00:00,0.15,43246,28,28,0,0,False,invalid,0.1538,1.0,1.0.0,ad3bc54c9135ba4eacd28d6f06620973e009a6eca71010c4e314efe5b4cafd9e,2026-08-09T18:39:13.543636+00:00,True,False,integrity_failed
btc_usdt,hour1,40343,2022-01-01T00:00:00+00:00,2026-08-09T18:00:00+00:00,0.65,40363,20,20,0,0,False,invalid,0.6538,3.0,1.0.0,ad3bc54c9135ba4eacd28d6f06620973e009a6eca71010c4e314efe5b4cafd9e,2026-08-09T18:39:13.543636+00:00,True,False,integrity_failed
btc_usdt,hour4,10085,2022-01-01T00:00:00+00:00,2026-08-09T16:00:00+00:00,2.65,10091,6,6,0,0,False,invalid,2.6538,8.0,1.0.0,ad3bc54c9135ba4eacd28d6f06620973e009a6eca71010c4e314efe5b4cafd9e,2026-08-09T18:39:13.543636+00:00,True,False,integrity_failed
btc_usdt,minute15,161278,2022-01-01T00:00:00+00:00,2026-08-09T18:30:00+00:00,0.15,161451,173,173,0,0,False,invalid,0.1538,1.0,1.0.0,ad3bc54c9135ba4eacd28d6f06620973e009a6eca71010c4e314efe5b4cafd9e,2026-08-09T18:39:13.543636+00:00,True,False,integrity_failed
eth_usdt,hour1,40337,2022-01-01T00:00:00+00:00,2026-08-09T18:00:00+00:00,0.65,40363,26,26,0,0,False,invalid,0.6538,3.0,1.0.0,ad3bc54c9135ba4eacd28d6f06620973e009a6eca71010c4e314efe5b4cafd9e,2026-08-09T18:39:13.543636+00:00,True,False,integrity_failed
eth_usdt,hour4,10088,2022-01-01T00:00:00+00:00,2026-08-09T16:00:00+00:00,2.65,10091,3,3,0,0,False,invalid,2.6538,8.0,1.0.0,ad3bc54c9135ba4eacd28d6f06620973e009a6eca71010c4e314efe5b4cafd9e,2026-08-09T18:39:13.543636+00:00,True,False,integrity_failed
eth_usdt,minute15,161240,2022-01-01T00:00:00+00:00,2026-08-09T18:30:00+00:00,0.15,161451,211,211,0,0,False,invalid,0.1538,1.0,1.0.0,ad3bc54c9135ba4eacd28d6f06620973e009a6eca71010c4e314efe5b4cafd9e,2026-08-09T18:39:13.543636+00:00,True,False,integrity_failed
layer_usdt,hour1,13060,2025-02-11T06:00:00+00:00,2026-08-09T18:00:00+00:00,0.65,13069,9,9,0,0,False,invalid,0.6538,3.0,1.0.0,ad3bc54c9135ba4eacd28d6f06620973e009a6eca71010c4e314efe5b4cafd9e,2026-08-09T18:39:13.543636+00:00,True,False,integrity_failed
layer_usdt,hour4,3267,2025-02-11T04:00:00+00:00,2026-08-09T16:00:00+00:00,2.65,3268,1,1,0,0,False,invalid,2.6538,8.0,1.0.0,ad3bc54c9135ba4eacd28d6f06620973e009a6eca71010c4e314efe5b4cafd9e,2026-08-09T18:39:13.543636+00:00,True,False,integrity_failed
layer_usdt,minute15,52222,2025-02-11T06:00:00+00:00,2026-08-09T18:30:00+00:00,0.15,52275,53,52,0,0,False,invalid,0.1538,1.0,1.0.0,ad3bc54c9135ba4eacd28d6f06620973e009a6eca71010c4e314efe5b4cafd9e,2026-08-09T18:39:13.543636+00:00,True,False,integrity_failed
pbu_usdt,hour1,21893,2024-02-09T06:00:00+00:00,2026-08-09T18:00:00+00:00,0.65,21901,8,8,0,0,False,invalid,0.6538,3.0,1.0.0,ad3bc54c9135ba4eacd28d6f06620973e009a6eca71010c4e314efe5b4cafd9e,2026-08-09T18:39:13.543636+00:00,True,False,integrity_failed
pbu_usdt,hour4,5475,2024-02-09T04:00:00+00:00,2026-08-09T16:00:00+00:00,2.65,5476,1,1,0,0,False,invalid,2.6538,8.0,1.0.0,ad3bc54c9135ba4eacd28d6f06620973e009a6eca71010c4e314efe5b4cafd9e,2026-08-09T18:39:13.543636+00:00,True,False,integrity_failed
pbu_usdt,minute15,87477,2024-02-09T06:15:00+00:00,2026-08-09T18:30:00+00:00,0.15,87602,125,125,0,0,False,invalid,0.1538,1.0,1.0.0,ad3bc54c9135ba4eacd28d6f06620973e009a6eca71010c4e314efe5b4cafd9e,2026-08-09T18:39:13.543636+00:00,True,False,integrity_failed
udoge_usdt,hour1,15770,2024-10-21T03:00:00+00:00,2026-08-09T18:00:00+00:00,0.65,15784,14,14,0,0,False,invalid,0.6538,3.0,1.0.0,ad3bc54c9135ba4eacd28d6f06620973e009a6eca71010c4e314efe5b4cafd9e,2026-08-09T18:39:13.543636+00:00,True,False,integrity_failed
udoge_usdt,hour4,3945,2024-10-21T00:00:00+00:00,2026-08-09T16:00:00+00:00,2.65,3947,2,2,0,0,False,invalid,2.6538,8.0,1.0.0,ad3bc54c9135ba4eacd28d6f06620973e009a6eca71010c4e314efe5b4cafd9e,2026-08-09T18:39:13.543636+00:00,True,False,integrity_failed
udoge_usdt,minute15,63016,2024-10-21T03:45:00+00:00,2026-08-09T18:30:00+00:00,0.15,63132,116,116,0,0,False,invalid,0.1538,1.0,1.0.0,ad3bc54c9135ba4eacd28d6f06620973e009a6eca71010c4e314efe5b4cafd9e,2026-08-09T18:39:13.543636+00:00,True,False,integrity_failed
